record,type,blocker,remediable,remediationPerformed,finalEligibility,note
ac-servicing/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
ac-servicing/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
ac-servicing/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
interior-painting/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
interior-painting/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
interior-painting/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
interior-painting/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
interior-painting/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
wall-crack-repair/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
wall-crack-repair/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
wall-crack-repair/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
wall-crack-repair/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
wall-crack-repair/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
swimming-pool-cleaning/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
swimming-pool-cleaning/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
swimming-pool-cleaning/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
swimming-pool-cleaning/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
swimming-pool-cleaning/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
refrigerator-cooling-problem/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
refrigerator-cooling-problem/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
refrigerator-cooling-problem/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
refrigerator-cooling-problem/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
refrigerator-cooling-problem/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
general-handyman-service/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
general-handyman-service/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
general-handyman-service/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
general-handyman-service/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
general-handyman-service/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
gas-burner-repair/dubai-marina,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
gas-burner-repair/al-majaz-1,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
gas-burner-repair/al-ain,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
gas-burner-repair/yas-island,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
gas-burner-repair/ajman-city,SERVICE_LOCATION,real coverage not verified (ServiceLocation.covered=false); no authoritative covered evidence beyond existing covered set,false,none,blocked,sample
