serviceId,oldName,newName,oldSlug,newSlug,oldCategory,newCategory,action,reason,riskLevel,diyAvailable,duplicateStatus,legacyStatus,seoStatus,finalStatus,kind,electricalArea
prop-32,AC Replacement,AC Replacement,ac-replacement,ac-replacement,ac,ac,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-33,AC Servicing,AC Servicing,ac-servicing,ac-servicing,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-34,,AC Thermostat Repair,,ac-thermostat-repair,ac,ac,ADD,Control/thermostat intent,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-35,AC Water Leakage Repair,AC Water Leakage Repair,ac-water-leakage-repair,ac-water-leakage-repair,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-36,,Cassette AC Maintenance,,cassette-ac-maintenance,ac,ac,ADD,Cassette form-factor maintenance,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-37,Central AC Maintenance,Central AC Maintenance,central-ac-maintenance,central-ac-maintenance,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-38,Ducted AC Maintenance,Ducted AC Maintenance,ducted-ac-maintenance,ducted-ac-maintenance,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-39,Package AC Maintenance,Package AC Maintenance,package-ac-maintenance,package-ac-maintenance,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-40,Split AC Maintenance,Split AC Maintenance,split-ac-maintenance,split-ac-maintenance,ac,ac,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-41,,Window AC Maintenance,,window-ac-maintenance,ac,ac,ADD,Window unit maintenance,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-42,Cooker Igniter Repair,Cooker Igniter Repair,cooker-igniter-repair,cooker-igniter-repair,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-43,Cooker Knob Replacement,Cooker Knob Replacement,cooker-knob-replacement,cooker-knob-replacement,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-44,Electric Cooker Repair,Electric Cooker Repair,electric-cooker-repair,electric-cooker-repair,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-45,Gas Burner Cleaning,Gas Burner Cleaning,gas-burner-cleaning,gas-burner-cleaning,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-46,Gas Burner Repair,Gas Burner Repair,gas-burner-repair,gas-burner-repair,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-47,Gas Burner Replacement,Gas Burner Replacement,gas-burner-replacement,gas-burner-replacement,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-48,Gas Cooker Cleaning,Gas Cooker Cleaning,gas-cooker-cleaning,gas-cooker-cleaning,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-49,Gas Cooker Ignition Repair,Gas Cooker Ignition Repair,gas-cooker-ignition-repair,gas-cooker-ignition-repair,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-50,Gas Cooker Inspection,Gas Cooker Inspection,gas-cooker-inspection,gas-cooker-inspection,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-51,,Gas Cooker Installation,,gas-cooker-installation,burner-cooker,burner-cooker,ADD,Gas appliance install; RR,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-52,Gas Flame Problem Diagnosis,Gas Flame Problem Diagnosis,gas-flame-problem-diagnosis,gas-flame-problem-diagnosis,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-53,Gas Hose Inspection,Gas Hose Inspection,gas-hose-inspection,gas-hose-inspection,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-54,Gas Hose Replacement,Gas Hose Replacement,gas-hose-replacement,gas-hose-replacement,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-55,Gas Leakage Inspection,Gas Leakage Inspection,gas-leakage-inspection,gas-leakage-inspection,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-56,Gas Valve Inspection,Gas Valve Inspection,gas-valve-inspection,gas-valve-inspection,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-57,Gas Valve Replacement,Gas Valve Replacement,gas-valve-replacement,gas-valve-replacement,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-58,Glass Hob Maintenance,Glass Hob Maintenance,glass-hob-maintenance,glass-hob-maintenance,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-59,Hob Cleaning,Hob Cleaning,hob-cleaning,hob-cleaning,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-60,Induction Cooker Inspection,Induction Cooker Inspection,induction-cooker-inspection,induction-cooker-inspection,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-61,Uneven Flame Diagnosis,Uneven Flame Diagnosis,uneven-flame-diagnosis,uneven-flame-diagnosis,burner-cooker,burner-cooker,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-62,Apartment Cleaning,Apartment Cleaning,apartment-cleaning,apartment-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-63,,Balcony Cleaning,,balcony-cleaning,cleaning,cleaning,ADD,Distinct outdoor living-area cleaning,GREEN,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-64,Bathroom Cleaning,Bathroom Cleaning,bathroom-cleaning,bathroom-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-65,Building Common Area Cleaning,Building Common Area Cleaning,building-common-area-cleaning,building-common-area-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-66,Carpet Cleaning,Carpet Cleaning,carpet-cleaning,carpet-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-67,Commercial Cleaning,Commercial Cleaning,commercial-cleaning,commercial-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-68,,Curtain & Blind Cleaning,,curtain-and-blind-cleaning,cleaning,cleaning,ADD,Common UAE soft-furnishing cleaning intent,GREEN,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-69,Deep Cleaning,Deep Cleaning,deep-cleaning,deep-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-70,Floor Cleaning,Floor Cleaning,floor-cleaning,floor-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-71,Glass Cleaning,Glass Cleaning,glass-cleaning,glass-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-72,House Cleaning,House Cleaning,house-cleaning,house-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-73,Kitchen Cleaning,Kitchen Cleaning,kitchen-cleaning,kitchen-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-74,Mattress Cleaning,Mattress Cleaning,mattress-cleaning,mattress-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-75,Move-In Cleaning,Move-In Cleaning,move-in-cleaning,move-in-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-76,Move-Out Cleaning,Move-Out Cleaning,move-out-cleaning,move-out-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-77,Office Cleaning,Office Cleaning,office-cleaning,office-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-78,One-Time Cleaning,One-Time Cleaning,one-time-cleaning,one-time-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-79,Post-Construction Cleaning,Post-Construction Cleaning,post-construction-cleaning,post-construction-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-80,Post-Renovation Cleaning,Post-Renovation Cleaning,post-renovation-cleaning,post-renovation-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-81,Recurring Cleaning,Recurring Cleaning,recurring-cleaning,recurring-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-82,Residential Cleaning,Residential Cleaning,residential-cleaning,residential-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-83,Sofa & Upholstery Cleaning,Sofa & Upholstery Cleaning,sofa-and-upholstery-cleaning,sofa-and-upholstery-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-84,,Staircase Cleaning,,staircase-cleaning,cleaning,cleaning,ADD,Common-area stair cleaning,GREEN,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-85,Villa Cleaning,Villa Cleaning,villa-cleaning,villa-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-86,Window Cleaning,Window Cleaning,window-cleaning,window-cleaning,cleaning,cleaning,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-87,Dishwasher Control Panel Diagnosis,Dishwasher Control Panel Diagnosis,dishwasher-control-panel-diagnosis,dishwasher-control-panel-diagnosis,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-88,Dishwasher Door Lock Repair,Dishwasher Door Lock Repair,dishwasher-door-lock-repair,dishwasher-door-lock-repair,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-89,Dishwasher Door Seal Replacement,Dishwasher Door Seal Replacement,dishwasher-door-seal-replacement,dishwasher-door-seal-replacement,dishwasher,dishwasher,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-90,Dishwasher Drainage Problem,Dishwasher Drainage Problem,dishwasher-drainage-problem,dishwasher-drainage-problem,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-91,Dishwasher Filter Cleaning,Dishwasher Filter Cleaning,dishwasher-filter-cleaning,dishwasher-filter-cleaning,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-92,Dishwasher Heating Problem,Dishwasher Heating Problem,dishwasher-heating-problem,dishwasher-heating-problem,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-93,Dishwasher Inspection,Dishwasher Inspection,dishwasher-inspection,dishwasher-inspection,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-94,,Dishwasher Installation,,dishwasher-installation,dishwasher,dishwasher,ADD,Install intent missing,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-95,Dishwasher Not Cleaning Properly,Dishwasher Not Cleaning Properly,dishwasher-not-cleaning-properly,dishwasher-not-cleaning-properly,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-96,Dishwasher Not Starting,Dishwasher Not Starting,dishwasher-not-starting,dishwasher-not-starting,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-97,Dishwasher Poor Drying,Dishwasher Poor Drying,dishwasher-poor-drying,dishwasher-poor-drying,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-98,Dishwasher Preventive Maintenance,Dishwasher Preventive Maintenance,dishwasher-preventive-maintenance,dishwasher-preventive-maintenance,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-99,Dishwasher Pump Inspection,Dishwasher Pump Inspection,dishwasher-pump-inspection,dishwasher-pump-inspection,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-100,Dishwasher Spray Arm Cleaning,Dishwasher Spray Arm Cleaning,dishwasher-spray-arm-cleaning,dishwasher-spray-arm-cleaning,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-101,Dishwasher Water Filling Problem,Dishwasher Water Filling Problem,dishwasher-water-filling-problem,dishwasher-water-filling-problem,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-102,Dishwasher Water Leakage,Dishwasher Water Leakage,dishwasher-water-leakage,dishwasher-water-leakage,dishwasher,dishwasher,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-103,,AC Isolator Installation,,ac-isolator-installation,electrical,electrical,ADD,AC isolator — building electrical,RED,false,unique,n/a-audit,proposed,proposed-approved,child,connections
prop-104,,Backup Generator Changeover Inspection,,backup-generator-changeover-inspection,electrical,electrical,ADD,Generator ATS/changeover; specialized,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,other
prop-105,,Breaker Tripping Diagnosis,,breaker-tripping-diagnosis,electrical,electrical,ADD,Distinct from short-circuit diagnosis,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,diagnosis
prop-106,,Building Electrical Preventive Maintenance,,building-electrical-preventive-maintenance,electrical,electrical,ADD,Scheduled building electrical PM,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,preventive
prop-107,,Burning Smell Electrical Investigation,,burning-smell-electrical-investigation,electrical,electrical,ADD,High-risk investigation; no DIY procedure,RED,false,unique,n/a-audit,proposed,proposed-approved,child,emergency
prop-108,,Cable Replacement,,cable-replacement,electrical,electrical,ADD,Cable run replacement,RED,false,unique,n/a-audit,proposed,proposed-approved,child,wiring
prop-109,,Cable Tray Installation,,cable-tray-installation,electrical,electrical,ADD,Commercial containment,RED,false,unique,n/a-audit,proposed,proposed-approved,child,commercial
prop-110,,Ceiling Fan Installation,,ceiling-fan-installation,electrical,electrical,ADD,Ceiling fan mount/electrical,RED,false,unique,n/a-audit,proposed,proposed-approved,child,fans
prop-111,,Ceiling Fan Repair,,ceiling-fan-repair,electrical,electrical,ADD,Fan repair intent,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,fans
prop-112,,Ceiling Fan Replacement,,ceiling-fan-replacement,electrical,electrical,ADD,Full fan swap,RED,false,unique,n/a-audit,proposed,proposed-approved,child,fans
prop-113,,Ceiling Light Installation,,ceiling-light-installation,electrical,electrical,ADD,Fixture-specific install,RED,false,unique,n/a-audit,proposed,proposed-approved,child,lighting
prop-114,,Chandelier Installation,,chandelier-installation,electrical,electrical,ADD,Heavy fixture / structural fixings,RED,false,unique,n/a-audit,proposed,proposed-approved,child,lighting
prop-115,Circuit Breaker Inspection,Circuit Breaker Inspection,circuit-breaker-inspection,circuit-breaker-inspection,electrical,electrical,KEEP,Existing approved baseline service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,
prop-116,Circuit Breaker Replacement,Circuit Breaker Replacement,circuit-breaker-replacement,circuit-breaker-replacement,electrical,electrical,KEEP,Existing approved baseline service,RED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-117,,Commercial Electrical Maintenance,,commercial-electrical-maintenance,electrical,electrical,ADD,Commercial property electrical,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,commercial
prop-118,,Common Area Electrical Maintenance,,common-area-electrical-maintenance,electrical,electrical,ADD,Shared-area electrical maintenance,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,building
prop-119,,Concealed Wiring Installation,,concealed-wiring-installation,electrical,electrical,ADD,In-wall works; higher risk/regulatory,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,wiring
prop-120,,Contactor Replacement,,contactor-replacement,electrical,electrical,ADD,Control gear replacement,RED,false,unique,n/a-audit,proposed,proposed-approved,child,controls
prop-121,,Cooker Electrical Connection,,cooker-electrical-connection,electrical,electrical,ADD,Cooker circuit connection; safety review,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,connections
prop-122,,DB Labeling and Circuit Mapping,,db-labeling-and-circuit-mapping,electrical,electrical,ADD,Documentation / identification service,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,distribution
prop-123,,Dedicated Circuit Installation,,dedicated-circuit-installation,electrical,electrical,ADD,New circuit from DB,RED,false,unique,n/a-audit,proposed,proposed-approved,child,wiring
prop-124,,Dimmer Switch Installation,,dimmer-switch-installation,electrical,electrical,ADD,Distinct switch type install,RED,false,unique,n/a-audit,proposed,proposed-approved,child,sockets-switches
prop-125,,Dimmer Switch Repair,,dimmer-switch-repair,electrical,electrical,ADD,Dimmer-specific fault,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,sockets-switches
prop-126,Distribution Board Inspection,Distribution Board Inspection,distribution-board-inspection,distribution-board-inspection,electrical,electrical,KEEP,Existing approved baseline service,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,
prop-127,,Distribution Board Installation,,distribution-board-installation,electrical,electrical,ADD,Major DB work; authorized contractors,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,distribution
prop-128,,Distribution Board Repair,,distribution-board-repair,electrical,electrical,ADD,DB corrective work,RED,false,unique,n/a-audit,proposed,proposed-approved,child,distribution
prop-129,,Distribution Board Upgrade,,distribution-board-upgrade,electrical,electrical,ADD,Capacity/upgrade scope,REVIEW_REQUIRED,false,unique,n/a-audit,proposed,proposed-approved,child,distribution
prop-130,,Doorbell Installation,,doorbell-installation,electrical,electrical,ADD,Low-voltage/doorbell install,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,other
prop-131,,Doorbell Repair,,doorbell-repair,electrical,electrical,ADD,Often low-risk observation/simple repair path,GREEN,true,unique,n/a-audit,proposed,proposed-approved,child,other
prop-132,,Downlight Installation,,downlight-installation,electrical,electrical,ADD,Recessed lighting scope,RED,false,unique,n/a-audit,proposed,proposed-approved,child,lighting
prop-133,,Downlight Replacement,,downlight-replacement,electrical,electrical,ADD,Like-for-like recessed swap when safe,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,lighting
prop-134,,Earthing Inspection,,earthing-inspection,electrical,electrical,ADD,Earthing health check,YELLOW,true,unique,n/a-audit,proposed,proposed-approved,child,earthing
