record,type,safetyClass,blocker,remediable,remediationPerformed,finalEligibility,contentGaps,status,profileStatus
diy-dishwasher-not-cleaning-properly,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-dishwasher-not-starting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-dishwasher-poor-drying,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-dishwasher-preventive-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-dishwasher-pump-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-dishwasher-water-filling-problem,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-dishwasher-water-leakage,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-distribution-board-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-door-hardware-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-door-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-door-repair-and-adjustment,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-drain-blockage-removal,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-drain-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-ducted-ac-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-electric-cooker-repair,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-electrical-fault-finding,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-electrical-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-electrical-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-emergency-water-heater-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-exercise-bike-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-exterior-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-fitness-equipment-inspection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-fixture-replacement,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_92|ar_words_81,draft,safety_review
diy-float-valve-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-floor-drain-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-gas-burner-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-gas-burner-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-burner-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-cooker-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-gas-cooker-ignition-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-gas-cooker-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-flame-problem-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-gas-hose-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-hose-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-leakage-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-oven-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-valve-inspection,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-gas-valve-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-general-handyman-service,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-general-property-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-glass-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_116|ar_words_81,draft,draft
diy-glass-hob-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-gym-cleaning-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_128|ar_words_81,draft,draft
diy-gym-disinfection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_92|ar_words_81,draft,safety_review
diy-gym-sanitization,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_92|ar_words_81,draft,safety_review
diy-gypsum-wall-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_139|ar_words_81,draft,draft
diy-hob-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-induction-cooker-inspection,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-interior-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-kitchen-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_118|ar_words_81,draft,draft
diy-led-light-installation,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-led-light-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-light-installation,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-light-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-lock-repair-and-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_145|ar_words_81,draft,draft
diy-mattress-cleaning,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_115|ar_words_81,draft,draft
diy-metal-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-microwave-control-panel-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-microwave-display-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-door-problem,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-microwave-door-switch-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-microwave-electrical-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-fan-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-fuse-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-heating-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_141|ar_words_81,draft,draft
diy-microwave-no-power-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-spark-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-microwave-turntable-problem,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-minor-building-repairs,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_142|ar_words_81,draft,draft
diy-minor-civil-maintenance,DIY,REVIEW_REQUIRED,REVIEW_REQUIRED — required human safety review not completed; cannot invent approval,false,none — REVIEW_REQUIRED not bypassed,blocked,en_words_94|ar_words_81,draft,safety_review
diy-moisture-damage-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-mold-affected-wall-treatment,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-office-painting,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_144|ar_words_81,draft,draft
diy-oven-control-panel-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-oven-door-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-oven-door-seal-replacement,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_146|ar_words_81,draft,draft
diy-oven-electrical-fault-diagnosis,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-oven-fan-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-oven-heating-element-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_135|ar_words_81,draft,draft
diy-oven-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_140|ar_words_81,draft,draft
diy-oven-not-heating,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-oven-preventive-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-oven-temperature-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-oven-thermostat-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-oven-timer-problem,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-oven-uneven-heating,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-package-ac-maintenance,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-partition-wall-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_133|ar_words_81,draft,draft
diy-peeling-paint-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_139|ar_words_81,draft,draft
diy-pipe-repair,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-pipe-replacement,DIY,RED,RED safety gate — never force public,false,none — safety prohibited,blocked,en_words_131|ar_words_81,draft,draft
diy-plaster-repair,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_136|ar_words_81,draft,draft
diy-plumbing-inspection,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_143|ar_words_81,draft,draft
diy-plumbing-maintenance,DIY,YELLOW,YELLOW safety — existing system does not explicitly permit automatic public DIY publication (GREEN-only publish path; diyProceduralAllowed=GREEN only),false,none — safety-gated; content gaps noted but not remediable into eligibility without inventing safety permit,blocked,en_words_124|ar_words_81,draft,draft
