num,parentCategory,serviceOffering,serviceSlug,kind,diyStatus,riskLevel,guidanceType,primaryDiyGuide,existingGuide,existingGuideStatus,safetyReview,arabicReview,professionalFallback,reason,primaryGuideLogic,ambiguous
11,"Refrigerator Maintenance / Repair","Refrigerator Maintenance / Repair [PARENT]","(DiyCategory hub: refrigerator)",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Appliance hub via DiyCategory — filter/seal/cleaning GREEN; compressor RED",C,no
12,"Microwave Maintenance / Repair","Microwave Maintenance / Repair [PARENT]","(DiyCategory hub: microwave)",parent,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Microwave hub — cleaning GREEN; HV internals RED",C,no
13,"Washing Machine Maintenance / Repair","Washing Machine Maintenance / Repair [PARENT]","(DiyCategory hub: washing-machine)",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Washer hub — filter clean GREEN; motor/board RED",C,no
14,"Water Heater Maintenance / Repair","Water Heater Maintenance / Repair [PARENT]","(DiyCategory hub: water-heater)",parent,YELLOW,yellow,safety-only,"TBD",no,none,required,required,required,"Heater hub — cleaning/observation limited; element/electrical RED",C,no
15,"Dishwasher Maintenance / Repair","Dishwasher Maintenance / Repair [PARENT]","(DiyCategory hub: dishwasher)",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Dishwasher hub — filter/spray-arm GREEN; pump/heating RED",C,no
16,"Gym Cleaning & Maintenance","Gym Cleaning & Maintenance [PARENT]","gym-cleaning-maintenance",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Gym hub — cleaning practical; equipment internals RR/RED",C,no
17,"Oven Maintenance / Repair","Oven Maintenance / Repair [PARENT]","(DiyCategory hub: oven)",parent,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Oven hub — cool cleaning GREEN; element/gas RED",C,no
18,"Burner / Cooker Maintenance / Repair","Burner / Cooker Maintenance / Repair [PARENT]","(DiyCategory hub: burner-cooker)",parent,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Burner/cooker default RED for gas; cleaning children may be YELLOW",C,no
19,"Cleaning Services","Residential Cleaning","residential-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
20,"Cleaning Services","Apartment Cleaning","apartment-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
21,"Cleaning Services","Villa Cleaning","villa-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
22,"Cleaning Services","House Cleaning","house-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
23,"Cleaning Services","Office Cleaning","office-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
24,"Cleaning Services","Commercial Cleaning","commercial-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
25,"Cleaning Services","Building Common Area Cleaning","building-common-area-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
26,"Cleaning Services","Deep Cleaning","deep-cleaning",child,YELLOW,yellow,step-by-step,"TBD",no,none,required,review-required,optional,"Practical cleaning with chemical/ventilation caution",C,no
27,"Cleaning Services","One-Time Cleaning","one-time-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
28,"Cleaning Services","Regular Cleaning","regular-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
29,"Cleaning Services","Recurring Cleaning","recurring-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
30,"Cleaning Services","Move-In Cleaning","move-in-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
31,"Cleaning Services","Move-Out Cleaning","move-out-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
32,"Cleaning Services","Post-Construction Cleaning","post-construction-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
33,"Cleaning Services","Post-Renovation Cleaning","post-renovation-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
34,"Cleaning Services","Kitchen Cleaning","kitchen-cleaning",child,YELLOW,yellow,step-by-step,"TBD",no,none,required,review-required,optional,"Practical cleaning with chemical/ventilation caution",C,no
35,"Cleaning Services","Bathroom Cleaning","bathroom-cleaning",child,GREEN,green,step-by-step,"how-to-clean-a-bathroom",yes,draft,required,review-required,optional,"Maps to existing bathroom cleaning draft guide",A,no
36,"Cleaning Services","Floor Cleaning","floor-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,review-required,optional,"Routine surface cleaning — GREEN candidate after human safety review",C,no
37,"Cleaning Services","Window Cleaning","window-cleaning",child,YELLOW,yellow,safety-only,"TBD",no,none,required,review-required,optional,"Height/glass risk — household glass OK after review; high exterior = pro",C,no
38,"Cleaning Services","Glass Cleaning","glass-cleaning",child,YELLOW,yellow,safety-only,"TBD",no,none,required,review-required,optional,"Height/glass risk — household glass OK after review; high exterior = pro",C,no
39,"Cleaning Services","Carpet Cleaning","carpet-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
40,"Cleaning Services","Sofa & Upholstery Cleaning","sofa-and-upholstery-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
41,"Cleaning Services","Mattress Cleaning","mattress-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Specialist cleaning / dust / textiles — limited DIY; chemical safety review",C,no
42,"General Building Maintenance","Residential Building Maintenance","residential-building-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
43,"General Building Maintenance","Commercial Building Maintenance","commercial-building-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
44,"General Building Maintenance","Villa Maintenance","villa-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
45,"General Building Maintenance","Apartment Maintenance","apartment-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
46,"General Building Maintenance","Preventive Building Maintenance","preventive-building-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
47,"General Building Maintenance","Corrective Building Maintenance","corrective-building-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
48,"General Building Maintenance","General Handyman Service","general-handyman-service",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
49,"General Building Maintenance","Property Inspection","property-inspection",child,GREEN,green,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Observation/report checklist only",C,no
50,"General Building Maintenance","Minor Building Repairs","minor-building-repairs",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
51,"General Building Maintenance","Common Area Maintenance","common-area-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"RED-adjacent civil/common-area — insufficient to invent class",D,yes
52,"General Building Maintenance","Door Repair & Adjustment","door-repair-and-adjustment",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Fixture/hardware — limited DIY after review",C,no
53,"General Building Maintenance","Door Hardware Replacement","door-hardware-replacement",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Fixture/hardware — limited DIY after review",C,no
54,"General Building Maintenance","Lock Repair & Replacement","lock-repair-and-replacement",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Fixture/hardware — limited DIY after review",C,no
55,"General Building Maintenance","Cabinet & Hardware Repair","cabinet-and-hardware-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,optional,"Fixture/hardware — limited DIY after review",C,no
56,"General Building Maintenance","Fixture Replacement","fixture-replacement",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"RED-adjacent civil/common-area — insufficient to invent class",D,yes
57,"General Building Maintenance","Minor Civil Maintenance","minor-civil-maintenance",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"RED-adjacent civil/common-area — insufficient to invent class",D,yes
58,"General Building Maintenance","General Property Repair","general-property-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"Building maintenance — caution; stop for specialist trades",C,no
59,"Plumbing Maintenance","Plumbing Inspection","plumbing-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis/observation — stop if wall/ceiling wet",C,no
60,"Plumbing Maintenance","Water Leakage Detection","water-leakage-detection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis/observation — stop if wall/ceiling wet",C,no
61,"Plumbing Maintenance","Water Leakage Repair","water-leakage-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
62,"Plumbing Maintenance","Pipe Repair","pipe-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
63,"Plumbing Maintenance","Pipe Replacement","pipe-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
64,"Plumbing Maintenance","Water Supply Line Repair","water-supply-line-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
65,"Plumbing Maintenance","Drain Cleaning","drain-cleaning",child,YELLOW,yellow,limited-troubleshooting,"how-to-unclog-a-sink-safely",yes,draft,required,required,required,"Drain/sink — draft unclog guide; no chemical recipes until reviewed",A,no
66,"Plumbing Maintenance","Drain Blockage Removal","drain-blockage-removal",child,YELLOW,yellow,limited-troubleshooting,"how-to-unclog-a-sink-safely",yes,draft,required,required,required,"Drain/sink — draft unclog guide; no chemical recipes until reviewed",A,no
67,"Plumbing Maintenance","Sink Repair","sink-repair",child,YELLOW,yellow,limited-troubleshooting,"how-to-unclog-a-sink-safely",yes,draft,required,required,required,"Drain/sink — draft unclog guide; no chemical recipes until reviewed",A,no
68,"Plumbing Maintenance","Sink Installation","sink-installation",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
69,"Plumbing Maintenance","Faucet Repair","faucet-repair",child,GREEN,green,step-by-step,"how-to-fix-dripping-faucet",yes,published,required,review-required,optional,"Fixture-level faucet — reuse published dripping-faucet guide",A,no
70,"Plumbing Maintenance","Faucet Replacement","faucet-replacement",child,GREEN,green,step-by-step,"how-to-fix-dripping-faucet",yes,published,required,review-required,optional,"Fixture-level faucet — reuse published dripping-faucet guide",A,no
71,"Plumbing Maintenance","Shower Repair","shower-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Fixture repair possible with isolation; sewage/concealed = stop",C,no
72,"Plumbing Maintenance","Shower Mixer Replacement","shower-mixer-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
73,"Plumbing Maintenance","Toilet Repair","toilet-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Fixture repair possible with isolation; sewage/concealed = stop",C,no
74,"Plumbing Maintenance","Toilet Installation","toilet-installation",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"In-wall / pressurized / installation plumbing — professional",C,no
75,"Plumbing Maintenance","Running Toilet Repair","running-toilet-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Fixture repair possible with isolation; sewage/concealed = stop",C,no
76,"Plumbing Maintenance","Water Pressure Problem Diagnosis","water-pressure-problem-diagnosis",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis/observation — stop if wall/ceiling wet",C,no
77,"Plumbing Maintenance","Floor Drain Repair","floor-drain-repair",child,YELLOW,yellow,limited-troubleshooting,"how-to-unclog-a-sink-safely",yes,draft,required,required,required,"Drain/sink — draft unclog guide; no chemical recipes until reviewed",A,no
78,"Electrical Maintenance","Electrical Inspection","electrical-inspection",child,RED,red,safety-only,"TBD",no,none,required,required,required,"Electrical default RED posture — observation/stop/CTA only",C,no
79,"Electrical Maintenance","Electrical Fault Finding","electrical-fault-finding",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
80,"Electrical Maintenance","Socket Repair","socket-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
81,"Electrical Maintenance","Socket Replacement","socket-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
82,"Electrical Maintenance","Switch Repair","switch-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
83,"Electrical Maintenance","Switch Replacement","switch-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
84,"Electrical Maintenance","Light Installation","light-installation",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
85,"Electrical Maintenance","Light Repair","light-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
86,"Electrical Maintenance","LED Light Installation","led-light-installation",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
87,"Electrical Maintenance","LED Light Replacement","led-light-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
88,"Electrical Maintenance","Wiring Inspection","wiring-inspection",child,RED,red,safety-only,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
89,"Electrical Maintenance","Wiring Repair","wiring-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
90,"Electrical Maintenance","Wiring Replacement","wiring-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
91,"Electrical Maintenance","Circuit Breaker Inspection","circuit-breaker-inspection",child,RED,red,safety-only,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
92,"Electrical Maintenance","Circuit Breaker Replacement","circuit-breaker-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
93,"Electrical Maintenance","Distribution Board Inspection","distribution-board-inspection",child,RED,red,safety-only,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
94,"Electrical Maintenance","Short-Circuit Diagnosis","short-circuit-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Live/internal electrical work — no repair DIY steps",C,no
95,"AC / Air Conditioning Maintenance","AC Inspection","ac-inspection",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,review-required,required,"User-accessible cleaning/servicing framing; no sealed-system steps",C,no
96,"AC / Air Conditioning Maintenance","AC Servicing","ac-servicing",child,YELLOW,yellow,limited-troubleshooting,"how-to-clean-ac-filter",yes,published,required,review-required,required,"User-accessible cleaning/servicing framing; no sealed-system steps",C,no
97,"AC / Air Conditioning Maintenance","AC Cleaning","ac-cleaning",child,YELLOW,yellow,limited-troubleshooting,"how-to-clean-ac-filter",yes,published,required,review-required,required,"User-accessible cleaning/servicing framing; no sealed-system steps",B,no
98,"AC / Air Conditioning Maintenance","AC Filter Cleaning","ac-filter-cleaning",child,GREEN,green,step-by-step,"how-to-clean-ac-filter",yes,published,required,review-required,optional,"Exact match to published AC filter guide",A,no
99,"AC / Air Conditioning Maintenance","AC Drain Cleaning","ac-drain-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis framing without opening sealed systems",C,no
100,"AC / Air Conditioning Maintenance","AC Drain Pipe Repair","ac-drain-pipe-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
101,"AC / Air Conditioning Maintenance","AC Water Leakage Repair","ac-water-leakage-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
102,"AC / Air Conditioning Maintenance","AC Cooling Problem Diagnosis","ac-cooling-problem-diagnosis",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis framing without opening sealed systems",C,no
103,"AC / Air Conditioning Maintenance","AC Gas Check","ac-gas-check",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Refrigerant / AC gas — sealed system; no DIY charging",C,no
104,"AC / Air Conditioning Maintenance","AC Gas Recharge","ac-gas-recharge",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Refrigerant / AC gas — sealed system; no DIY charging",C,no
105,"AC / Air Conditioning Maintenance","AC Noise Problem Diagnosis","ac-noise-problem-diagnosis",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Diagnosis framing without opening sealed systems",C,no
106,"AC / Air Conditioning Maintenance","AC Installation","ac-installation",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
107,"AC / Air Conditioning Maintenance","AC Replacement","ac-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
108,"AC / Air Conditioning Maintenance","Split AC Maintenance","split-ac-maintenance",child,YELLOW,yellow,limited-troubleshooting,"how-to-clean-ac-filter",yes,published,required,review-required,required,"User-accessible cleaning/servicing framing; no sealed-system steps",C,no
109,"AC / Air Conditioning Maintenance","Central AC Maintenance","central-ac-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
110,"AC / Air Conditioning Maintenance","Ducted AC Maintenance","ducted-ac-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
111,"AC / Air Conditioning Maintenance","Package AC Maintenance","package-ac-maintenance",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Installation / refrigerant / complex system — professional",C,no
112,"AC / Air Conditioning Maintenance","AC Preventive Maintenance","ac-preventive-maintenance",child,YELLOW,yellow,limited-troubleshooting,"how-to-clean-ac-filter",yes,published,required,review-required,required,"User-accessible cleaning/servicing framing; no sealed-system steps",C,no
113,"Painting Services","Interior Painting","interior-painting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Interior paint — share touch-up pattern; stop for height/damp",B,no
114,"Painting Services","Exterior Painting","exterior-painting",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Exterior/height painting — non-negotiable RED; professional only",C,no
115,"Painting Services","Residential Painting","residential-painting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Painting child — default YELLOW until scoped",B,no
116,"Painting Services","Villa Painting","villa-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
117,"Painting Services","Apartment Painting","apartment-painting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Painting child — default YELLOW until scoped",B,no
118,"Painting Services","Office Painting","office-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
119,"Painting Services","Commercial Painting","commercial-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
120,"Painting Services","Wall Painting","wall-painting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Interior paint — share touch-up pattern; stop for height/damp",B,no
121,"Painting Services","Ceiling Painting","ceiling-painting",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Ceiling/height painting — non-negotiable RED; professional only",C,no
122,"Painting Services","Door Painting","door-painting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Interior paint — share touch-up pattern; stop for height/damp",B,no
123,"Painting Services","Metal Painting","metal-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
124,"Painting Services","Wood Painting","wood-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
125,"Painting Services","Repainting","repainting",child,YELLOW,yellow,limited-troubleshooting,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Interior paint — share touch-up pattern; stop for height/damp",B,no
126,"Painting Services","Touch-Up Painting","touch-up-painting",child,GREEN,green,step-by-step,"how-to-touch-up-interior-paint",yes,draft,required,review-required,optional,"Maps to draft touch-up guide",A,no
127,"Painting Services","Texture Painting","texture-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
128,"Painting Services","Decorative Painting","decorative-painting",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Specialty coating — caution until reviewed",C,no
129,"Wall Maintenance & Repair","Wall Inspection","wall-inspection",child,YELLOW,yellow,limited-troubleshooting,"how-to-check-a-small-wall-crack",yes,draft,required,required,required,"Observation/photo only; reuse crack-check draft",A,no
130,"Wall Maintenance & Repair","Wall Crack Repair","wall-crack-repair",child,YELLOW,yellow,limited-troubleshooting,"how-to-check-a-small-wall-crack",yes,draft,required,required,required,"Observation/photo only; reuse crack-check draft",A,no
131,"Wall Maintenance & Repair","Structural Crack Assessment","structural-crack-assessment",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Structural crack assessment — no DIY repair; specialist review",C,no
132,"Wall Maintenance & Repair","Plaster Repair","plaster-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
133,"Wall Maintenance & Repair","Wall Hole Repair","wall-hole-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
134,"Wall Maintenance & Repair","Wall Damage Repair","wall-damage-repair",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
135,"Wall Maintenance & Repair","Damp Wall Repair","damp-wall-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Moisture/mold treatment methods or partition work — professional until reviewed",C,no
136,"Wall Maintenance & Repair","Moisture Damage Repair","moisture-damage-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Moisture/mold treatment methods or partition work — professional until reviewed",C,no
137,"Wall Maintenance & Repair","Mold-Affected Wall Treatment","mold-affected-wall-treatment",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Moisture/mold treatment methods or partition work — professional until reviewed",C,no
138,"Wall Maintenance & Repair","Peeling Paint Repair","peeling-paint-repair",child,YELLOW,yellow,limited-troubleshooting,"how-to-check-a-small-wall-crack",yes,draft,required,required,required,"Observation/photo only; reuse crack-check draft",A,no
139,"Wall Maintenance & Repair","Wall Patching","wall-patching",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
140,"Wall Maintenance & Repair","Wall Skimming","wall-skimming",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
141,"Wall Maintenance & Repair","Surface Preparation","surface-preparation",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Surface repair possible at small scale after review; structural = stop",C,no
